市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,,,,,,,,,,
132241,0000000080,東京都,多摩市,多摩市立総合体育館,タマシリツソウゴウタイイクカン,Tama　Municipal　Gumnasium,東京都多摩市東寺方588-1,,,35.643522,139.436218,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,
132241,0000000081,東京都,多摩市,多摩市立一本杉公園野球場,タマシリツイッポンスギコウエンヤキュウジョウ,,東京都多摩市南野2-14-1,,,35.607806,139.432195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132241,0000000082,東京都,多摩市,多摩市立一本杉公園庭球場,タマシリツイッポンスギコウエンテイキュウジョウ,,東京都多摩市南野2-14-1,,,35.609218,139.432345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132241,0000000083,東京都,多摩市,多摩市立陸上競技場,タマシリツリクジョウキョウギジョウ,Tama　Municipal　Athletic　Stadium　,東京都多摩市諏訪4-9,,,35.625019,139.460299,,,,,,,,,,,,,,,09:00,17:00,,,,,,,,,,,,,,,
132241,0000000084,東京都,多摩市,多摩市立武道館,タマシリツブドウカン,Tama　Municipal　Budokan,東京都多摩市諏訪4-9,,,35.625473,139.458919,,,,,,,,,,,,,,,09:00,21:30,,,,,,,,,,,,,,,
132241,0000000085,東京都,多摩市,多摩市立温水プール,タマシリツオンスイプール,Tama　Municipal　heated　pool,東京都多摩市南野3-15-2,,総合福祉センターに隣接,35.612308,139.413727,,,,,,,,,,,,,,,09:00,22:00,,,,,,,,,,,,,,,
132241,0000000086,東京都,多摩市,永山駅前公衆便所,ナガヤマエキマエコウシュウベンジョ,,東京都多摩市永山1-45,,,35.629392,139.447644,3,2,0,1,2,0,2,1,0,1,1,有,無,無,,,,,,,,,,,,,,,,,
132241,0000000087,東京都,多摩市,多摩センター駅前公衆便所,タマセンターエキマエコウシュウベンジョ,,東京都多摩市落合1-40-1,,,35.624294,139.423819,6,4,0,2,5,1,4,1,0,1,1,有,無,無,,,,,,,,,,,,,,,,,
132241,0000000088,東京都,多摩市,聖蹟桜ヶ丘駅前公衆便所,セイセキサクラガオカエキマエコウシュウベンジョ,,東京都多摩市関戸1-11-2,,,35.650308,139.447155,4,2,0,2,2,0,2,1,0,1,1,有,無,無,,,,,,,,,,,,,,,,,
132241,0000000089,東京都,多摩市,豊ヶ丘商店街公衆便所,トヨガオカショウテンガイコウシュウベンジョ,,東京都多摩市豊ヶ丘4-2,,,,,2,2,0,0,1,1,0,1,0,1,1,有,無,無,,,,,,,,,,,,,,,,,
132241,0000000090,東京都,多摩市,グリーンライブセンター,グリーンライブセンター,,東京都多摩市落合2-35,多摩中央公園内,,35.622263,139.427809,3,2,1,0,2,1,1,0,0,0,1,有,無,無,09:30,17:00,休館日（月曜日，第４火曜日（祝日の場合は翌日），12月29日〜1月3日）は使用不可,,,,,,,,,,,,,,
132241,0000000091,東京都,多摩市,愛宕東公園,アタゴヒガシコウエン,,東京都多摩市愛宕1-66,,,35.633663,139.436535,4,3,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,,,,,,,,,,,,
132241,0000000092,東京都,多摩市,愛宕第１公園,アタゴダイ１コウエン,,東京都多摩市愛宕2-62,,,35.635722,139.439777,0,0,0,0,0,0,0,4,1,0,0,無,無,無,,,,,,,,,,,,,,,,,
